Participant,Success,Date,Location,Condition,Age_year,Age_month,Age_day,Age_in_days,Gender,Likes_sticker,Assent,Task_order,Stickers_rule_guess_right_correct,Stickers_rule_guess_wrong_correct,Stickers_T1_location,Stickers_T2_location,Stickers_T3_location,Stickers_T4_location,Stickers_T1_win,Stickers_T2_win,Stickers_T3_win,Stickers_T4_win,Stickers_memory_location,S_memory_correct,DN_more_correct,DN_less_correct,DN_P1_card,DN_P2_card,DN_P3_card,DN_P4_card,DN_P5_card,DN_P6_card,DN_P1_correct,DN_P2_correct,DN_P3_correct,DN_P4_correct,DN_P5_correct,DN_P6_correct,Stickers_Repeat_instructions
1,NS,7/3/18,Boston Common,Competition,4,3,4,1554,F,Y,Y,S,Y,Y,L,R,.,.,N,N,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,N
2,NS,7/3/18,Boston Common,Cooperation,4,11,6,1796,M,Y,Y,S,N,N,R,L,.,.,N,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Y
3,S,7/3/18,Boston Common,Cooperation,4,11,14,1804,F,Y,Y,S,Y,Y,L,R,L,R,N,N,N,.,R,Y,.,.,Night,Day,.,.,.,.,Y,Y,.,.,.,.,N
4,S,7/3/18,Boston Common,Competition,4,7,8,1678,F,Y,Y,S,Y,Y,L,R,L,R,N,N,N,N,R,Y,.,.,Day,Night ,.,.,.,.,Y,Y,.,.,.,.,N
5,S,7/3/18,Boston Common,Cooperation,4,11,14,1804,M,Y,Y,S,Y,Y,L,R,L,R,Y,N,Y,N,R,Y,.,.,Day,Night ,.,.,.,.,Y,Y,.,.,.,.,N
6,NS,7/3/18,Boston Common,Cooperation ,4,9,2,1732,F,Y,Y,DN,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Night,Day,Night,Day,.,.,N,N,N,N,.,.,N
7,NS,7/5/18,Boston Common,Cooperation,4,0,11,1471,M,Y,Y,S,Y,N,L,R,L,R,N,N,N,N,L,N,.,.,Day,Night ,Day ,Night ,.,.,N,N,N,Y,.,.,N
8,S,7/5/18,Boston Common,Cooperation,4,2,8,1528,M,Y,Y,S,Y,Y,R,R,R,L,N,N,Y,Y,L,N,.,.,Night,Day,Night,Day,.,.,N,N,Y,Y,.,.,N
9,S,7/5/18,Boston Common,Competition,4,1,28,1518,F,Y,Y,S,Y,Y,R,L,L,R,Y,Y,N,Y,R,Y,.,.,Night,Day,.,.,.,.,Y,Y,.,.,.,.,N
10,NS,7/5/18,Boston Common,Competition,4,1,11,1501,F,Y,Y,DN,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,N
11,S,7/5/18,Boston Common,Cooperation,4,11,29,1819,M,Y,Y,DN,Y,Y,R,L,R,L,Y,Y,Y,Y,R,Y,.,.,Day,Night ,.,.,.,.,Y,Y,.,.,.,.,N
