SubjID,Start Date,End Date,Duration (in seconds),Consent,Rule,"If the other player guesses correctly and finds the stickers, who gets to keep them?","If the other player guesses incorrectly and doesn't find the stickers, who gets to keep them?",Trial 1_Hide,Trial 1_Response,Trial 2_Hide,Trial 2_Response,Trial 3_Hide,Trial 3_Response,Trial 4_Hide,Trial 4_Response,"Did you use any strategy during the game? If yes, please describe your strategy below.",coded_response,Age,Gender,stickers_you_total,stickers_them_total,condition,stickers_num
1,11/6/17 9:13,11/6/17 9:15,118,Consent Given,neither of us gets to keep any stickers,neither of us gets to keep any stickers,the other player,1,2,1,2,1,2,1,2,no,,28,Female,8,8,cooperation,8
2,11/6/17 9:13,11/6/17 9:15,172,Consent Given,neither of us gets to keep any stickers,neither of us gets to keep any stickers,we each get to keep a sticker,1,2,1,2,1,2,1,2,I told him the wrong cup to increase our sticker count,N,38,Male,4,4,cooperation,4
3,11/6/17 9:13,11/6/17 9:16,156,Consent Given,neither of us gets to keep any stickers,neither of us gets to keep any stickers,we each get to keep a sheet of stickers,2,1,2,1,2,1,2,1,I tried my best to make the other person guess incorrectly.,N,29,Male,8,8,cooperation,8
4,11/6/17 9:13,11/6/17 9:16,194,Consent Given,we each get to keep a sticker,neither of us gets to keep any stickers,we each get to keep a sticker,2,1,2,1,2,1,2,1,I told the other person the wrong cup,N,39,Female,4,4,cooperation,4
5,11/6/17 9:14,11/6/17 9:16,164,Consent Given,the other player,the other player,me,1,2,1,2,1,2,1,2,,,33,Male,4,0,competition,4
6,11/6/17 9:13,11/6/17 9:16,199,Consent Given,the other player,the other player,me,2,2,2,1,1,1,2,1,I told the other player where some of them were so he would trust me when I gave him the wrong answer.,Y,23,Male,4,4,competition,8
7,11/6/17 9:14,11/6/17 9:16,138,Consent Given,the other player,the other player,me,2,2,2,2,1,1,2,1,i was going for the long con,Y,24,Male,2,6,competition,8
8,11/6/17 9:13,11/6/17 9:16,184,Consent Given,neither of us gets to keep any stickers,neither of us gets to keep any stickers,we each get to keep a sticker,2,2,2,1,1,2,1,2,Lie about which cup held the stickers,Y,53,Male,3,3,cooperation,4
9,11/6/17 9:14,11/6/17 9:16,163,Consent Given,me,me,neither of us gets to keep any stickers,2,2,2,2,2,2,2,2,No,,21,Male,0,8,competition,8
10,11/6/17 9:13,11/6/17 9:16,198,Consent Given,neither of us gets to keep any stickers,neither of us gets to keep any stickers,we each get to keep a sticker,1,1,1,2,2,1,2,1,,,30,Male,3,3,cooperation,4
11,11/6/17 9:13,11/6/17 9:16,189,Consent Given,we each get to keep a sheet of stickers,we each get to keep a sheet of stickers,neither of us gets to keep any stickers,2,2,2,2,2,2,2,2,no,,42,Male,0,0,cooperation,8
12,11/6/17 9:13,11/6/17 9:16,204,Consent Given,we each get to keep a sheet of stickers,neither of us gets to keep any stickers,we each get to keep a sheet of stickers,1,1,1,2,1,2,1,2,My strategy was to lie to make sure we both won stickers.,Y,32,Male,6,6,cooperation,8
13,11/6/17 9:14,11/6/17 9:17,178,Consent Given,neither of us gets to keep any stickers,neither of us gets to keep any stickers,we each get to keep a sheet of stickers,1,2,2,2,2,2,2,1,no,,22,Female,4,4,cooperation,8
14,11/6/17 9:14,11/6/17 9:17,186,Consent Given,neither of us gets to keep any stickers,neither of us gets to keep any stickers,we each get to keep a sheet of stickers,2,2,1,1,1,2,1,2,not really it was random,N,40,Male,4,4,cooperation,8
15,11/6/17 9:14,11/6/17 9:17,173,Consent Given,the other player,the other player,me,1,1,1,2,1,2,1,2,I tried to maximize the expected number of stickers that I got.,N,23,Male,6,2,competition,8
16,11/6/17 9:13,11/6/17 9:17,243,Consent Given,the other player,the other player,me,2,1,2,2,1,2,2,1,My strategy was to trick the other player and tell them the stickers were in a different cup then they really were.,Y,31,Male,6,2,competition,8
17,11/6/17 9:13,11/6/17 9:17,207,Consent Given,the other player,the other player,me,2,2,2,2,2,1,1,2,Tell the player they are under the other cup.,N,21,Female,2,2,competition,4
18,11/6/17 9:13,11/6/17 9:17,234,Consent Given,the other player,the other player,me,2,2,2,1,2,1,1,2,I lied to the other player about where the sticker was.,Y,31,Female,3,1,competition,4
19,11/6/17 9:13,11/6/17 9:17,238,Consent Given,neither of us gets to keep any stickers,neither of us gets to keep any stickers,we each get to keep a sheet of stickers,1,1,2,2,2,1,1,2,no particular strategy,N,59,Male,4,4,cooperation,8
20,11/6/17 9:14,11/6/17 9:17,158,Consent Given,neither of us gets to keep any stickers,neither of us gets to keep any stickers,me,1,2,1,2,1,2,1,2,,,35,Male,4,4,cooperation,4
21,11/6/17 9:14,11/6/17 9:17,178,Consent Given,the other player,the other player,me,1,1,1,1,1,1,2,2,honesty,N,46,Male,0,4,competition,4
22,11/6/17 9:14,11/6/17 9:17,182,Consent Given,the other player,the other player,me,2,1,2,1,1,2,2,1,I tried to maximize my opportunities,N,32,Female,4,0,competition,4
23,11/6/17 9:14,11/6/17 9:17,196,Consent Given,neither of us gets to keep any stickers,neither of us gets to keep any stickers,we each get to keep a sticker,1,1,2,2,2,1,1,2,,,31,Female,2,2,cooperation,4
24,11/6/17 9:13,11/6/17 9:17,246,Consent Given,neither of us gets to keep any stickers,neither of us gets to keep any stickers,we each get to keep a sticker,2,1,2,1,2,2,2,2,No strategy.,,31,Male,2,2,cooperation,4
25,11/6/17 9:13,11/6/17 9:17,246,Consent Given,the other player,the other player,me,2,1,1,2,2,1,2,2,no,,38,Male,6,2,competition,8
26,11/6/17 9:14,11/6/17 9:17,201,Consent Given,the other player,the other player,me,1,1,1,2,2,1,1,1,Yes. I tried to trick the other player by sometimes saying the wrong cup,Y,30,Female,4,4,competition,8
27,11/6/17 9:13,11/6/17 9:17,259,Consent Given,the other player,the other player,me,2,1,2,1,1,2,1,2,I just lied to the other person about where the stickers was.,Y,34,Female,4,0,competition,4
28,11/6/17 9:14,11/6/17 9:17,232,Consent Given,neither of us gets to keep any stickers,neither of us gets to keep any stickers,we each get to keep a sticker,2,1,2,1,1,2,2,1,No strategy ,N,35,Male,4,4,cooperation,4
29,11/6/17 9:14,11/6/17 9:17,222,Consent Given,the other player,the other player,me,1,1,1,1,2,1,1,2,I went with choosing the same cup twice then giving him the exact answers. I made him feel comfortable and assured. I then swithced it and the end and got 2 stickers.,N,21,Male,2,2,competition,4
30,11/6/17 9:13,11/6/17 9:17,282,Consent Given,the other player,the other player,me,2,1,2,1,1,1,2,1,Tried to confuse the other player with my changes.,N,39,Male,3,1,competition,4
31,11/6/17 9:14,11/6/17 9:17,228,Consent Given,the other player,the other player,me,1,1,1,1,2,1,1,1,tried to keep the other person from getting stickers,N,42,Female,2,6,competition,8
32,11/6/17 9:13,11/6/17 9:17,254,Consent Given,the other player,the other player,me,2,2,2,1,2,1,1,2,"At first i told the truth figuring the other player would guess the opposite of my suggestion. After the other player picked the cup I told them, then I lied and said they were in the wrong cup, which the other player fell for every time.",Y,32,Male,6,2,competition,8
33,11/6/17 9:13,11/6/17 9:17,241,Consent Given,the other player,the other player,me,1,2,1,1,1,2,1,1,I alternated what I told the other player so the outcome was even. ,N,26,Female,4,4,competition,8
34,11/6/17 9:14,11/6/17 9:17,218,Consent Given,neither of us gets to keep any stickers,neither of us gets to keep any stickers,we each get to keep a sheet of stickers,1,2,2,1,2,1,2,1,I wanted the individual to choose incorrectly so we could both win. I told them the wrong cup so that they would guess the wrong cup. ,N,30,Female,8,8,cooperation,8
35,11/6/17 9:13,11/6/17 9:17,280,Consent Given,me,the other player,the other player,2,1,2,2,1,2,2,1,no,,30,Male,3,1,competition,4
36,11/6/17 9:14,11/6/17 9:17,194,Consent Given,neither of us gets to keep any stickers,we each get to keep a sticker,we each get to keep a sticker,2,2,2,2,1,2,1,2,NO,,28,Female,2,2,cooperation,4
37,11/6/17 9:14,11/6/17 9:18,183,Consent Given,the other player,the other player,me,2,2,2,2,2,1,2,1,just tried to be random,N,40,Male,2,2,competition,4
38,11/6/17 9:14,11/6/17 9:18,203,Consent Given,neither of us gets to keep any stickers,neither of us gets to keep any stickers,we each get to keep a sheet of stickers,2,2,2,1,2,1,2,1,Yes I chose to go with cup 2 every time so the other player would know to choose cup one and that way we always got points.,N,31,Male,6,6,cooperation,8
39,11/6/17 9:14,11/6/17 9:18,203,Consent Given,the other player,the other player,neither of us gets to keep any stickers,2,2,1,1,1,2,2,1,"I was honest at first, but when that wasn't working,then I tricked the other player twice in a row.",Y,30,Female,4,4,competition,8
40,11/6/17 9:15,11/6/17 9:18,169,Consent Given,the other player,the other player,me,1,2,1,2,1,2,2,1,none,,35,Male,8,0,competition,8
41,11/6/17 9:14,11/6/17 9:18,228,Consent Given,neither of us gets to keep any stickers,neither of us gets to keep any stickers,me,1,2,2,1,2,2,2,1,No not really,N,26,Female,3,3,cooperation,4
42,11/6/17 9:14,11/6/17 9:18,197,Consent Given,the other player,the other player,me,1,1,1,1,1,1,2,2,No strategy was used,N,21,Male,0,4,competition,4
43,11/6/17 9:14,11/6/17 9:18,238,Consent Given,neither of us gets to keep any stickers,neither of us gets to keep any stickers,we each get to keep a sheet of stickers,2,2,2,2,1,1,2,1,I tried to tell the other player the truth about where the stickers were so they would guess the other cup. It didn't work.,N,22,Female,2,2,cooperation,8
44,11/6/17 9:14,11/6/17 9:18,235,Consent Given,neither of us gets to keep any stickers,neither of us gets to keep any stickers,we each get to keep a sticker,2,1,1,2,1,2,2,1,"Yes, in order for us both to get a sticker, I hid the stickers under one cup and told the player they were under the other. They trusted me enough to pick the cup I told them the stickers were under",N,29,Female,4,4,cooperation,4
45,11/6/17 9:14,11/6/17 9:18,201,Consent Given,neither of us gets to keep any stickers,neither of us gets to keep any stickers,we each get to keep a sticker,2,2,2,2,2,1,2,1,,,27,Male,2,2,cooperation,4
46,11/6/17 9:14,11/6/17 9:18,203,Consent Given,the other player,the other player,me,1,1,1,1,2,1,2,2,no,,39,Male,2,6,competition,8
47,11/6/17 9:14,11/6/17 9:18,222,Consent Given,we each get to keep a sheet of stickers,we each get to keep a sheet of stickers,neither of us gets to keep any stickers,1,1,2,2,1,2,2,2,I tried both strategies.,N,32,Female,2,2,cooperation,8
48,11/6/17 9:14,11/6/17 9:18,236,Consent Given,the other player,the other player,me,2,2,2,2,1,2,2,1,I tried to trick them by telling the truth at first and then lying. ,Y,22,Female,4,4,competition,8
49,11/6/17 9:14,11/6/17 9:18,266,Consent Given,the other player,the other player,me,2,1,1,2,2,1,1,2,"Yes, I told the other player where the sticker wasn't.",N,41,Male,4,0,competition,4
50,11/6/17 9:13,11/6/17 9:18,276,Consent Given,neither of us gets to keep any stickers,neither of us gets to keep any stickers,we each get to keep a sheet of stickers,1,1,1,2,2,1,1,2,"I noticed the other player was taking my suggestions on where the stickers were, so I hid them in the opposite cup. ",N,29,Female,6,6,cooperation,8
51,11/6/17 9:14,11/6/17 9:18,239,Consent Given,the other player,the other player,me,1,1,2,2,2,1,1,1,No.,,30,Female,1,3,competition,4
52,11/6/17 9:14,11/6/17 9:18,232,Consent Given,neither of us gets to keep any stickers,neither of us gets to keep any stickers,we each get to keep a sheet of stickers,2,2,1,2,2,1,2,1,I told the other player the incorrect spot for the sticker location so they would guess incorrectly.,N,42,Female,6,6,cooperation,8
53,11/6/17 9:14,11/6/17 9:18,250,Consent Given,the other player,the other player,me,2,1,2,2,2,1,1,2,"Not really, I went back and fourth with being honest and not being honest",Y,47,Male,6,2,competition,8
54,11/6/17 9:14,11/6/17 9:18,263,Consent Given,the other player,the other player,me,,,2,2,2,1,1,1,NO,,35,Female,2,4,competition,8
55,11/6/17 9:13,11/6/17 9:18,292,Consent Given,the other player,the other player,me,1,2,2,1,1,1,2,1,no,,76,Male,3,1,competition,4
56,11/6/17 9:14,11/6/17 9:18,230,Consent Given,the other player,the other player,me,2,1,2,1,2,1,2,1,"Yes, i chose the same cup every time and told the other player the opposite cup.",N,37,Male,8,0,competition,8
57,11/6/17 9:14,11/6/17 9:18,244,Consent Given,the other player,the other player,me,1,1,1,1,2,2,1,2,I thought he would think I was lying,Y,39,Female,1,3,competition,4
58,11/6/17 9:14,11/6/17 9:18,281,Consent Given,neither of us gets to keep any stickers,neither of us gets to keep any stickers,we each get to keep a sticker,2,2,2,2,2,1,1,1,Totally random pick.,N,52,Male,1,1,cooperation,4
59,11/6/17 9:15,11/6/17 9:18,217,Consent Given,neither of us gets to keep any stickers,neither of us gets to keep any stickers,we each get to keep a sticker,1,1,1,1,1,1,1,1,Lie to get the other player to choose the wrong cup,Y,27,Male,0,0,cooperation,4
60,11/6/17 9:15,11/6/17 9:18,217,Consent Given,neither of us gets to keep any stickers,neither of us gets to keep any stickers,we each get to keep a sticker,2,1,1,1,1,2,2,1,I lied at first then told the truth thinking the other person wouldn?t believe me but they did so I lied the rest of the rounds,Y,49,Female,3,3,cooperation,4
61,11/6/17 9:14,11/6/17 9:18,231,Consent Given,the other player,the other player,me,2,2,1,1,1,1,1,1,"I told the other player exactly what cup the sticker was under.  I put it under 2 at first, but then just went 1 the rest of the time.",N,37,Male,0,4,competition,4
62,11/6/17 9:14,11/6/17 9:18,234,Consent Given,the other player,the other player,me,2,1,2,2,2,2,1,1,no strategy,,34,Male,1,3,competition,4
63,11/6/17 9:14,11/6/17 9:18,291,Consent Given,the other player,the other player,me,2,2,2,1,2,1,1,2,Told the other player the incorrect cup.,N,46,Female,6,2,competition,8
