Variable,Value,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SubjID,Participant ID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Start Date,Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
End Date,Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Duration (in seconds),number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Consent,Consent Given or Consent Not Given,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"If the other player guesses correctly and finds the stickers, who gets to keep them?","Possible responses: ""neither of us gets to keep any stickers"", ""the other player"", ""me"", ""we each get to keep a sticker""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"If the other player guesses incorrectly and doesn't find the stickers, who gets to keep them?","Possible responses: ""neither of us gets to keep any stickers"", ""the other player"", ""me"", ""we each get to keep a sticker""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trial 1_Hide,1 or 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trial 1_Response,1 or 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trial 2_Hide,1 or 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trial 2_Response,1 or 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trial 3_Hide,1 or 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trial 3_Response,1 or 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trial 4_Hide,1 or 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trial 4_Response,1 or 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Did you use any strategy during the game? If yes, please describe your strategy below.",free response,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
coded_response,Y or N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Age,number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gender,"Female, Male",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stickers_you_total,number ranging from 0 to 8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stickers_them_total,number ranging from 0 to 8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
condition,competition or cooperation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stickers_num,4 or 8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
